"scenario","method","dose","n_replicates","p_eff_true","p_eff_mean","p_eff_bias","p_eff_rmse","p_eff_coverage_95","p_eff_interval_width","q_eff_true","q_eff_mean","q_eff_bias","q_eff_rmse","q_eff_coverage_95","q_eff_interval_width","r_eff_true","r_eff_mean","r_eff_bias","r_eff_rmse","r_eff_coverage_95","r_eff_interval_width"
"sce2","fixed_beta",1,100,0.01,0.028602926974185,0.018602926974185,0.0284966772525093,1,0.183746494903239,0.01,0.0575704638542275,0.0475704638542275,0.0519556655880286,0.98,0.382915843597218,0,0.0297599533468107,0.0297599533468107,0.0301148449225169,0,0.342191465076724
"sce2","fixed_beta",2,100,0.05,0.0782127579228018,0.0282127579228018,0.0608240255786773,1,0.313912968111022,0.053,0.11539726261206,0.0623972626120602,0.0898984777185704,0.98,0.397681483086635,0.00315789473684211,0.0402443005284865,0.0370864057916444,0.0444575770163801,1,0.279386914125748
"sce2","fixed_beta",3,100,0.3,0.295885795691198,-0.00411420430880197,0.14063472630322,0.95,0.568177451460852,0.315,0.394481834900022,0.0794818349000223,0.166457600722183,0.95,0.611624747540229,0.0214285714285714,0.133111260224346,0.111682688795775,0.138324109291361,1,0.555167998517311
"sce2","fixed_beta",4,100,0.6,0.548977965125518,-0.0510220348744819,0.163540042210114,0.99,0.654755705238275,0.69,0.659797932839111,-0.0302020671608886,0.133673385096752,0.99,0.578413455238201,0.225,0.220437995538778,-0.00456200446122233,0.0956088722155017,1,0.742345854112022
"sce2","fixed_beta",5,100,0.6,0.591077759091811,-0.00892224090818896,0.156554562652656,1,0.643024794991373,0.78,0.719280003083307,-0.060719996916693,0.119427309877092,0.99,0.549486467325323,0.45,0.273900871520569,-0.176099128479432,0.202716820397994,1,0.800712554415741
"sce2","hierarchical_beta",1,100,0.01,0.0920221774466047,0.0820221774466047,0.0880651922125606,0.97,0.355048578277889,0.01,0.266461582284707,0.256461582284707,0.270805805718985,0.88,0.853286890756827,0,0.191797370051957,0.191797370051957,0.211679094875297,0,0.838981301718223
"sce2","hierarchical_beta",2,100,0.05,0.111856421636491,0.0618564216364909,0.0892611122750189,0.98,0.382857973570673,0.053,0.200710485175158,0.147710485175158,0.169762576415645,0.88,0.539202362713059,0.00315789473684211,0.0994610698307878,0.0963031750939456,0.112490898987934,1,0.443755656059538
"sce2","hierarchical_beta",3,100,0.3,0.282390708853546,-0.0176092911464543,0.152404776571807,0.94,0.564043178905116,0.315,0.415798303479625,0.100798303479625,0.191198063392359,0.96,0.631597623119076,0.0214285714285714,0.176679596039696,0.155251024611125,0.202179211422751,1,0.604291482376911
"sce2","hierarchical_beta",4,100,0.6,0.497261570396575,-0.102738429603425,0.207426545463334,0.91,0.662354203427175,0.69,0.637987293520698,-0.0520127064793019,0.162373131299605,0.96,0.612495671721495,0.225,0.236652207356058,0.0116522073560581,0.162366530013114,1,0.763793767538321
"sce2","hierarchical_beta",5,100,0.6,0.518678468356622,-0.0813215316433784,0.209980880002002,0.91,0.655048422611235,0.78,0.668593397035409,-0.111406602964591,0.169785668617912,0.99,0.612222590119665,0.45,0.249199466985204,-0.200800533014796,0.259740016113068,0.97,0.787372260113272
