"dose","p_eff_hat","p_eff_lcl","p_eff_ucl","r_eff_hat","r_eff_lcl","r_eff_ucl","q_eff_hat","q_eff_lcl","q_eff_ucl","p_eff_true","q_eff_true","r_eff_true","nR","eR","nI","eI","alpha_eff_true","scenario","replicate","method"
3,0.398542341056283,0.0902411531887916,0.728467951452003,0.163820215483376,7.18945626639789e-07,0.711789461227143,0.506634174951252,0.151856426656754,0.831964937408081,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",5,"fixed_beta"
4,0.558086450299899,0.198050992758854,0.855714620075688,0.193993961265013,2.47721051434474e-05,0.740911880429416,0.650334988879652,0.305236726581481,0.900955213403051,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",5,"fixed_beta"
5,0.249775647828289,0.0433984765311472,0.555528121773948,0.101590959270835,8.54013727371073e-05,0.495874877595457,0.324624295074331,0.0682199375494697,0.702846290434937,0.35,0.455,0.161538461538461,3,1,3,0,0.3,"sce1",5,"fixed_beta"
1,0.13998401647228,0.000339978352783905,0.4423167468654,0.122697821130971,3.78154494965335e-20,0.795065926329927,0.244328033179259,0.00587048724549281,0.839227455553539,0.2,0.2,0,6,0,0,0,0.3,"sce1",5,"hierarchical_beta"
2,0.423637941909929,0.143237343082263,0.750868191382418,0.0734678054978413,4.80621112055439e-17,0.421950757237518,0.467812605718726,0.168788661975008,0.797747583150288,0.35,0.41,0.0923076923076923,3,2,3,1,0.3,"sce1",5,"hierarchical_beta"
3,0.389813208995698,0.0661702662932701,0.718736468585031,0.140291857051569,8.45887703890625e-25,0.709782625509353,0.48562946390126,0.194856892384516,0.850571374458746,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",5,"hierarchical_beta"
4,0.507210467686194,0.195760278646043,0.82885358742569,0.114023131327561,1.72551075524235e-21,0.660352817973042,0.568979203598915,0.267447028790292,0.881551214804073,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",5,"hierarchical_beta"
5,0.238201184490175,0.0281002823390566,0.546441841894035,0.0507496322081776,6.03443939744174e-19,0.371220585205425,0.276647901893327,0.0341622397236273,0.628317537111908,0.35,0.455,0.161538461538461,3,1,3,0,0.3,"sce1",5,"hierarchical_beta"
1,0.152095269368533,0.010073856343715,0.462492209064311,0.0271747034303755,3.49763531715535e-25,0.308481240438099,0.174997074414349,0.0113599246342956,0.547702303567756,0.2,0.2,0,6,1,0,0,0.3,"sce1",6,"fixed_beta"
2,0.383453488603887,0.0782159673060148,0.719132585004587,0.118753909734955,2.55201785197206e-12,0.55447852301223,0.46452369145534,0.157846627784464,0.803709092908305,0.35,0.41,0.0923076923076923,3,1,3,2,0.3,"sce1",6,"fixed_beta"
3,0.431218071817971,0.136126714233748,0.783940857938814,0.072935693971118,1.13526288154901e-08,0.447145720116815,0.475253553823963,0.17895524960011,0.7982815196353,0.35,0.455,0.161538461538461,3,2,3,1,0.3,"sce1",6,"fixed_beta"
4,0.707464635089129,0.373905185454091,0.928807123227404,0.148293751395611,3.4120053043816e-05,0.669761811950313,0.753367677951211,0.414923983510591,0.941669874251941,0.35,0.455,0.161538461538461,3,3,3,2,0.3,"sce1",6,"fixed_beta"
5,0.448027115859755,0.0959034943460443,0.808664727886146,0.262915584530817,0.000807133825009609,0.757620944787886,0.60632206317057,0.268462017865183,0.888284107423922,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",6,"fixed_beta"
1,0.295562261614071,0.0408911662961848,0.593219676186291,0.164715245888565,3.21315028254676e-43,0.775536517530851,0.413000970657913,0.0734085537931123,0.847744420056042,0.2,0.2,0,6,1,0,0,0.3,"sce1",6,"hierarchical_beta"
2,0.453862216509289,0.155355646214421,0.783953875790727,0.17922484120148,1.91711831734863e-47,0.746633802891773,0.559930855064096,0.212255918998139,0.883622442589985,0.35,0.41,0.0923076923076923,3,1,3,2,0.3,"sce1",6,"hierarchical_beta"
3,0.459222751472085,0.168758406022632,0.771853086089228,0.109320970561956,2.67597050692723e-23,0.543011738359649,0.522037402634143,0.225570777291854,0.818531271216584,0.35,0.455,0.161538461538461,3,2,3,1,0.3,"sce1",6,"hierarchical_beta"
4,0.638971747398397,0.312785216332002,0.941387447872462,0.140040750077629,3.27427274424338e-22,0.766447532178896,0.696155794036753,0.38143067962113,0.946506993931783,0.35,0.455,0.161538461538461,3,3,3,2,0.3,"sce1",6,"hierarchical_beta"
5,0.442786638706733,0.125539809430318,0.763594358066385,0.156422918394872,2.13612031268466e-44,0.694901197023268,0.539507367096601,0.249486365291806,0.853532555575538,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",6,"hierarchical_beta"
1,0.269569150026244,0.0627870759258461,0.5941822418533,0.0343090409636172,4.28124424680197e-27,0.39953530088868,0.294360935357112,0.066913634024544,0.685547504831855,0.2,0.2,0,6,2,0,0,0.3,"sce1",7,"fixed_beta"
2,0.121172940768215,0.000208548169253856,0.42239502808666,0.121223683344451,1.85478627836182e-09,0.573302498063486,0.232122894810653,0.0216046968706063,0.641755350497192,0.35,0.41,0.0923076923076923,3,0,3,1,0.3,"sce1",7,"fixed_beta"
3,0.310090324388,0.0697535710883216,0.648813834890023,0.112272189302862,1.33456860510025e-06,0.576642982302371,0.391377198151194,0.119918277102781,0.71868312393027,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",7,"fixed_beta"
4,0.572417888546651,0.210175305698487,0.860492966607131,0.176124904851325,2.00008622930243e-05,0.696112258746801,0.655249502742907,0.304467231114987,0.915441910893471,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",7,"fixed_beta"
5,0.209089565516169,0.0095327609003678,0.548412618657331,0.186935579332399,0.000293464274216073,0.606016496928774,0.361388850163171,0.0924131340226698,0.728274748221114,0.35,0.455,0.161538461538461,3,0,3,1,0.3,"sce1",7,"fixed_beta"
1,0.316179420113433,0.08924971656904,0.611444980278714,0.185403312318383,2.03035449013037e-08,0.825468879561126,0.442611898934919,0.134414264996727,0.892839199062431,0.2,0.2,0,6,2,0,0,0.3,"sce1",7,"hierarchical_beta"
2,0.190522269317536,4.43665669525036e-05,0.469859143909985,0.171310844616643,7.58766165086328e-09,0.674859671660117,0.33645123859536,0.0655032533496357,0.721212471647627,0.35,0.41,0.0923076923076923,3,0,3,1,0.3,"sce1",7,"hierarchical_beta"
