"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
42,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,5,0.3,0.5,0.300523394322061,0.482474217974767,56.9275173056036,0.138352462028542,56.6,43.3,7.713,6.273,2.212,29.805,18.285,1104.98860017836,1.5,1000
43,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0.3,0.05,0.344987151617552,0.0803184881365751,31.0196232234924,0.146757711043484,63.9,16.2,12.006,8.077,4.183,18.936,11.915,686.037633189573,72.2,1000
43,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0.35,0.06,0.399449779493356,0.269512875069766,40.1927813244517,0.146757711043484,20,8.1,4.71,3.574,1.998,18.936,11.915,686.037633189573,72.2,1000
43,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0.4,0.07,0.49537728369286,0.403807289665936,44.4133460322418,0.146757711043484,5.1,0.8,1.737,1.37,0.647,18.936,11.915,686.037633189573,72.2,1000
43,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0.45,0.08,0.539082909242276,0.475149805745483,46.945671975038,0.146757711043484,0.5,0,0.42,0.345,0.173,18.936,11.915,686.037633189573,72.2,1000
43,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0.5,0.09,0.620802263008511,0.495473140709327,44.8962979222192,0.146757711043484,0,0,0.063,0.054,0.02,18.936,11.915,686.037633189573,72.2,1000
44,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0.02,0.2,0.0455165419202515,0.195710093438999,49.9219439295299,0.131282219529779,0.4,22.7,6.798,4.798,2.439,30,17.888,1073.86104499257,0,1000
44,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0.06,0.2,0.0686701596933878,0.22064105773646,50.4916570764521,0.131282219529779,1.6,28.2,7.527,5.623,3.283,30,17.888,1073.86104499257,0,1000
44,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0.09,0.2,0.125868712808767,0.237786360309767,49.2324331062353,0.131282219529779,7.1,21.1,6.231,4.785,2.604,30,17.888,1073.86104499257,0,1000
44,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0.14,0.2,0.159939972459469,0.260486638384276,49.2315994046778,0.131282219529779,14.5,17.9,5.349,4.221,2.212,30,17.888,1073.86104499257,0,1000
