"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,18.1221,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,4.9411,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,15.5389,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",22.9244,21.7293,20.3532,14.7756,14.5382,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",10.2616,6.8381,5.312,3.4479,3.0175,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.8181,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.1291,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,34.4747,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.4082,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,21.223,NA,10000,9970,30,9970,997000
