"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0.9,0,0.0714,28,3,1,1,1,0.07,0.07,0.0961,NA,NA,NA,0.155,4.0636,4.0636,0,29.9473,19.1483,0.2067,330.485,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0.9,0,0.0714,28,3,1,1,2,0.12,0.183,0.1321,0.0529,NA,NA,4.7545,4.5535,4.5535,3.4537,29.9473,19.1483,0.2067,330.485,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0.9,0,0.0714,28,3,1,1,3,0.17,0.278,0.2106,0.0657,NA,NA,19.3282,6.0217,6.0217,3.2315,29.9473,19.1483,0.2067,330.485,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0.9,0,0.0714,28,3,1,1,4,0.22,0.373,0.2531,0.0841,NA,NA,31.5762,6.7581,6.7581,1.5592,29.9473,19.1483,0.2067,330.485,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0.9,0,0.0714,28,3,1,1,5,0.3,0.498,0.3445,0.1156,NA,NA,43.9793,8.5504,8.5504,2.5545,29.9473,19.1483,0.2067,330.485,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_random",NA,NA,"random",NA,0.9,0,0.0714,28,3,1,1,1,0.07,0.07,0.0973,0.058,NA,NA,0.4651,4.0496,4.0496,0,29.9473,19.0977,0.2067,330.7771,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_random",NA,NA,"random",NA,0.9,0,0.0714,28,3,1,1,2,0.12,0.183,0.1334,NA,NA,NA,5.6848,4.6388,4.6388,3.4682,29.9473,19.0977,0.2067,330.7771,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_random",NA,NA,"random",NA,0.9,0,0.0714,28,3,1,1,3,0.17,0.278,0.212,NA,NA,NA,17.5194,6.0093,6.0093,3.2791,29.9473,19.0977,0.2067,330.7771,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_random",NA,NA,"random",NA,0.9,0,0.0714,28,3,1,1,4,0.22,0.373,0.2543,NA,NA,NA,32.1964,6.5643,6.5643,1.568,29.9473,19.0977,0.2067,330.7771,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_random",NA,NA,"random",NA,0.9,0,0.0714,28,3,1,1,5,0.3,0.498,0.3453,NA,NA,NA,43.9276,8.6853,8.6853,2.5344,29.9473,19.0977,0.2067,330.7771,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
