"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
10,3,"CRM","crm_random",30,2,0.9,1.2,37.7159,32.6462,5.0697
10,3,"CRM","crm_fixed",30,3,0.3,0.6,39.0312,33.7973,5.2339
10,3,"CRM","crm_fixed",30,3,1.2,1.5,24.8886,18.8753,6.0133
10,3,"CRM","crm_random",30,3,1.2,1.5,31.0306,25.0696,5.961
10,3,"CRM","crm_alpha_crm",30,3,1.2,1.5,32.6837,26.9488,5.7349
11,5,"CRM","crm_fixed",30,3,0.6,0.9,81.5599,76.3788,5.1811
11,5,"CRM","crm_fixed",30,3,0.9,1.2,76.3788,71.3649,5.01389999999999
11,5,"CRM","crm_fixed",30,3,1.2,1.5,71.3649,65.0139,6.351
13,5,"CRM","crm_fixed",30,3,0,0.3,66.0724,60.3343,5.7381
13,5,"CRM","crm_fixed",30,3,0.3,0.6,60.3343,53.649,6.6853
13,5,"CRM","crm_fixed",30,3,0.6,0.9,53.649,48.3565,5.2925
13,5,"CRM","crm_fixed",30,3,0.9,1.2,48.3565,43.0084,5.3481
13,5,"CRM","crm_fixed",30,3,1.2,1.5,43.0084,36.7688,6.2396
13,5,"CRM","crm_random",30,3,0,0.3,68.2451,62.4513,5.79379999999999
13,5,"CRM","crm_random",30,3,0.3,0.6,62.4513,57.3259,5.12540000000001
13,5,"CRM","crm_random",30,3,0.9,1.2,53.9833,48.2451,5.7382
13,5,"CRM","crm_random",30,3,1.2,1.5,48.2451,42.2841,5.961
13,5,"CRM","crm_level",30,3,0,0.3,69.415,63.844,5.57100000000001
13,5,"CRM","crm_level",30,3,0.9,1.2,55.2646,49.5265,5.7381
13,5,"CRM","crm_level",30,3,1.2,1.5,49.5265,42.8969,6.6296
13,5,"CRM","crm_alpha_crm",30,3,1.2,1.5,58.9415,53.8162,5.1253
20,3,"CRM","crm_fixed",30,2,0.6,0.9,40.3235,34.4116,5.9119
20,3,"CRM","crm_fixed",30,2,0.9,1.2,34.4116,29.169,5.2426
20,3,"CRM","crm_random",30,2,0.3,0.6,44.9526,39.2638,5.68879999999999
20,3,"CRM","crm_level",30,2,0.6,0.9,40.8812,35.2482,5.633
20,3,"CRM","crm_alpha_crm",30,2,0.9,1.2,44.7046,39.5764,5.1282
20,3,"CRM","crm_fixed",30,3,0,0.3,49.0524,42.5864,6.466
20,3,"CRM","crm_fixed",30,3,0.3,0.6,42.5864,35.527,7.0594
20,3,"CRM","crm_fixed",30,3,0.6,0.9,35.527,29.1132,6.4138
20,3,"CRM","crm_fixed",30,3,1.2,1.5,24.8745,19.2973,5.5772
20,3,"CRM","crm_random",30,3,0.3,0.6,43.5025,35.3597,8.1428
20,3,"CRM","crm_random",30,3,0.9,1.2,32.1807,26.1015,6.0792
20,3,"CRM","crm_level",30,3,0.3,0.6,43.391,36.5867,6.8043
20,3,"CRM","crm_level",30,3,0.9,1.2,32.85,25.9342,6.9158
20,3,"CRM","crm_alpha_crm",30,3,0,0.3,50.5017,44.9275,5.5742
20,3,"CRM","crm_alpha_crm",30,3,0.9,1.2,39.9108,33.5563,6.3545
20,3,"CRM","crm_cumu_crm",30,3,0.3,0.6,51.8952,46.8227,5.07250000000001
20,3,"CRM","crm_cumu_crm",30,3,0.9,1.2,44.6488,38.3501,6.2987
20,3,"CRM","crm_cumu_crm",30,3,1.2,1.5,38.3501,32.8317,5.5184
2,4,"CFO","cfo_pride",45,2,0.6,0.9,15.1059,5.6299,9.476
2,4,"CFO","cfo_pride",45,3,0.6,0.9,21.5719,10.0892,11.4827
2,4,"CFO","cfo_pride",45,3,1.2,1.5,6.1873,0,6.1873
4,5,"CFO","cfo_pride",45,2,0.3,0.6,31.2326,25.488,5.7446
4,5,"CFO","cfo_pride",45,2,0.6,0.9,25.488,9.314,16.174
