"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,5,0.3,0.3,0.2702,NA,NA,NA,21.1694,4.4078,4.4078,0.9047,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,6,0.34,0.34,0.316,NA,NA,NA,17.7923,3.4204,3.4204,1.5393,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,7,0.37,0.37,0.3627,NA,NA,NA,15.2218,2.4012,2.4012,0.4667,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,8,0.41,0.41,0.4104,NA,NA,NA,15.2722,1.7268,1.7268,0.5192,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,1,0.11,0.11,0.1166,NA,NA,NA,0.1512,3.2933,3.2933,0,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,2,0.14,0.14,0.1441,NA,NA,NA,1.6633,3.691,3.691,2.8579,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,3,0.19,0.19,0.1784,NA,NA,NA,7.2581,4.5741,4.5741,0.5247,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,4,0.24,0.24,0.2197,NA,NA,NA,17.1371,5.1547,5.1547,2.6517,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,5,0.3,0.3,0.2672,NA,NA,NA,18.9012,4.745,4.745,1.0323,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,6,0.34,0.34,0.3192,NA,NA,NA,18.1452,3.5897,3.5897,1.621,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
