"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Metric","D1","D2","D3","D4","D5","Total","Duration","n_valid","ntrial_from_files"
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,29.7554,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,19.9775,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,1.0505,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,67.5057,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True DLT rate",0.15,0.2,0.3,0.35,0.45,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True IPDE DLT rate",0.15,0.335,0.48,0.62,0.765,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Estimated pj_iso",0.0788,0.1942,0.3161,0.3723,0.5581,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"MTD Selection %",19.6098,51.2756,20.5603,7.2036,0.3002,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Pts Treated",9.6483,12.5388,5.7674,1.5563,0.2446,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Unique Pts by Dose",9.6483,12.5388,5.7674,1.5563,0.2446,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# IPDE Doses",0,5.046,3.5838,0.5348,0.2061,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,29.7554,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,20.3847,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,1.0505,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,68.3144,1999,1999
