"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
7,1,1,"base_example",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.607448190328785,0.48297541221514,44.680597119757,0.125357220591212,0.8,0,0.297,0.236,0.098,19.482,12.363,710.269531462246,67,1000
8,16,1,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0398458218452561,0.191580174090539,49.9009775716221,0.120619308651019,0.4,32.6,7.407,5.184,2.686,29.997,17.919,1079.67312649263,0.1,1000
8,16,1,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.0608897039860718,0.194875983954435,49.2569708778232,0.120619308651019,1.6,23,6.858,5.193,2.987,29.997,17.919,1079.67312649263,0.1,1000
8,16,1,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.113900776541747,0.212023620043659,48.1653861409497,0.120619308651019,5.2,20.1,5.853,4.522,2.442,29.997,17.919,1079.67312649263,0.1,1000
8,16,1,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.145979037359769,0.224928169891987,47.6565286991285,0.120619308651019,11.5,14.2,5.505,4.311,2.289,29.997,17.919,1079.67312649263,0.1,1000
8,16,1,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.221807455290529,0.270243429634617,47.3423075664559,0.120619308651019,81.3,10,4.374,3.498,1.674,29.997,17.919,1079.67312649263,0.1,1000
9,20,5,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,1,0,0,0.07,0.05,0.13436930880412,0.12005417110895,41.8284779143722,0.118264981810356,2.3,12.3,5.337,3.586,1.897,29.577,18.774,1102.37487556358,2.6,1000
9,20,5,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,2,0,0,0.14,0.25,0.177913896386512,0.229717969701621,46.6665223266368,0.118264981810356,15,49.8,11.07,8.123,4.504,29.577,18.774,1102.37487556358,2.6,1000
9,20,5,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,3,0,0,0.31,0.25,0.267738200272799,0.265370868154136,45.2127240783362,0.118264981810356,44.9,25.6,8.061,6.31,2.743,29.577,18.774,1102.37487556358,2.6,1000
9,20,5,"five_scenarios_txt",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,4,0,0,0.41,0.25,0.314076611490296,0.361245355698301,49.1116568822863,0.118264981810356,27,8,3.717,3.103,1.25,29.577,18.774,1102.37487556358,2.6,1000
