"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","Average sample size","22.1437","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","Average trial duration","173.52812857142857","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","2.0591","9822","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","MTD selection","56.4285","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","MTD allocation","39.964666666666666","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","Overdose selection","26.9954","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","28.536333333333335","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.3097","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","Average trial duration","174.87347142857143","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","5.2488","9623","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","MTD selection","34.0367","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","MTD allocation","27.594","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","Overdose selection","36.821","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","Overdose allocation","28.519","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","Average sample size","21.9315","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","Average trial duration","171.82705714285711","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","8.2252","9916","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","MTD selection","47.6109","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","MTD allocation","34.867666666666665","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","Overdose selection","33.7786","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","Overdose allocation","30.126333333333335","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","Average sample size","22.184","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","Average trial duration","173.85462857142858","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","2.7083","9822","false"
