"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","2.7083","9822","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","MTD selection","55.6537","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","MTD allocation","39.40133333333333","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","Overdose selection","28.593","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","Overdose allocation","29.661","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","Average sample size","22.3585","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","Average trial duration","175.2674142857143","9623","false"
"All methods and random priors","0","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","6.2804","9623","false"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"All methods and random priors","0","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"All methods and random priors","0","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"All methods and random priors","0","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","MTD selection","34.1424","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","MTD allocation","28.06933333333333","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","Overdose selection","18.9051","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","Overdose allocation","16.547333333333334","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","Average sample size","21.9507","10000","false"
