"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","IPDE_Design","Continuous_Enrollment","New_Pat_First","N_Eval_Escalate","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files","Oracle_Reference","n_scenarios_paired_with_oracle"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.7606,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1192.9597,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,56.7338,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0474,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.681,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,7.9704,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,3.3108,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,13.1462,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Mean paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,-2.6928,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"SD paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,16.3622,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",24.7676,18.7888,19.9314,19.2029,12.6203,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",9.5528,7.2403,5.682,4.1382,2.5216,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.8888,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1200.1141,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,54.8358,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0468,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.6311,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,5.2427,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,2.6932,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,13.8106,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Mean paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,-4.5892,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.9,0,0.0179,28,30,3,2,1,1,1,3,1,0,"SD paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,19.5168,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",16.9149,18.2008,18.6809,17.1195,24.8358,NA,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",7.9664,6.1014,5.6096,4.2566,5.3114,NA,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.218,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1218.9829,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,59.4232,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0464,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.8756,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,20.7364,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.5784,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,9.7913,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Mean paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,0,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","r_fixed",NA,NA,"r_fixed",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"SD paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,0,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",16.1795,18.2962,18.4656,17.1595,25.6451,NA,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",7.6136,6.0843,5.5939,4.2986,5.6575,NA,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.2154,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1218.9481,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,58.359,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0463,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.5884,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,22.5308,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,7.2274,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,9.4322,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","random",NA,NA,"random",NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Mean paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,-1.0642,NA,10000,9980,20,9980,998000,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
