"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
35,27,2,"higher_gap_above_MTD",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,3,3,0.3,3,1,3,0,0,0.3,0.4,0.293782568745752,0.363595171026766,50.0644075117759,0.11909242836097,54.5154185022026,48.568281938326,6.71806167400881,9.56497797356828,8.17400881057269,4.15528634361233,29.5242290748899,17.5881057268722,260.965383143128,3.30396475770925,908
35,27,2,"higher_gap_above_MTD",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,3,3,0.3,3,1,4,0,0,0.5,0.42,0.341127673641736,0.42660290904363,51.9510675969483,0.11909242836097,25.9911894273128,9.2511013215859,6.71806167400881,3.56497797356828,3.36894273127753,1.57929515418502,29.5242290748899,17.5881057268722,260.965383143128,3.30396475770925,908
35,27,2,"higher_gap_above_MTD",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,3,3,0.3,3,1,5,0,0,0.62,0.45,0.437154090811747,0.488804385364374,51.8420994893926,0.11909242836097,2.97356828193833,0.991189427312775,6.71806167400881,0.488986784140969,0.484581497797357,0.230176211453745,29.5242290748899,17.5881057268722,260.965383143128,3.30396475770925,908
36,38,38,"user_added",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,5,5,0.3,3,1,1,0,0,0.05,0.05,0.0613548731167023,0.124692778767763,45.0273718013977,0.115791303864838,0.220264317180617,3.9647577092511,6.49779735682819,5.12444933920705,4.12444933920705,1.38325991189427,29.9438325991189,17.011013215859,253.598626122717,0.440528634361234,908
36,38,38,"user_added",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,5,5,0.3,3,1,2,0,0,0.1,0.08,0.0894440247163374,0.138822270523863,44.7515752427783,0.115791303864838,0.550660792951542,7.59911894273128,6.49779735682819,4.87665198237885,4.42621145374449,2.2136563876652,29.9438325991189,17.011013215859,253.598626122717,0.440528634361234,908
36,38,38,"user_added",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,5,5,0.3,3,1,3,0,0,0.12,0.12,0.15572499726278,0.161810821040662,43.4796493719285,0.115791303864838,3.74449339207048,9.80176211453744,6.49779735682819,5.43832599118943,4.93942731277533,2.37885462555066,29.9438325991189,17.011013215859,253.598626122717,0.440528634361234,908
36,38,38,"user_added",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,5,5,0.3,3,1,4,0,0,0.15,0.15,0.193796295105684,0.186001119837913,43.4082153860474,0.115791303864838,19.6035242290749,9.69162995594714,6.49779735682819,5.16409691629956,4.73348017621145,2.36674008810573,29.9438325991189,17.011013215859,253.598626122717,0.440528634361234,908
36,38,38,"user_added",1,"one_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,30,30,3,3,0.0714285714285714,28,5,5,0.3,3,1,5,0,0,0.3,0.5,0.27973718224609,0.470732705221438,57.0544750234426,0.115791303864838,75.8810572687225,62.4449339207048,6.49779735682819,9.34030837004405,8.43392070484581,4.59030837004405,29.9438325991189,17.011013215859,253.598626122717,0.440528634361234,908
37,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,1,0.3,0.3,0.3,0.05,0.36503387245673,0.0845092532037524,30.469200293956,0.159039811426866,63.1057268722467,11.6740088105727,80.6167400881057,12.488986784141,7.42180616740088,5.37555066079295,18.7235682819383,10.1189427312775,541.172222639794,69.8237885462555,908
37,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,2,0.3,0.3,0.35,0.06,0.419004339818158,0.294049792113727,40.8828139340973,0.159039811426866,13.4361233480176,5.61674008810573,80.6167400881057,3.91519823788546,2.90969162995595,2.02863436123348,18.7235682819383,10.1189427312775,541.172222639794,69.8237885462555,908
