"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.2,0.5,4,0.22,0.22,0.1046,NA,NA,0.2,20.5507,5.3406,5.3406,3.3024,30,22.3661,0,72.4104,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.2,0.5,5,0.3,0.3,0.2821,NA,NA,0.2,68.4345,10.4855,10.4855,0.7511,30,22.3661,0,72.4104,1961,1961
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.3,0.1,0.5,1,0.07,0.07,0.0085,0.0924,0.0662,0.029,0.75,4.2855,4.2855,0,30,21.0015,0,69.6281,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.3,0.1,0.5,2,0.12,0.141,0.0321,0.079,0.0741,0.025,4.15,5.4495,5.4495,3.317,30,21.0015,0,69.6281,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.3,0.1,0.5,3,0.17,0.206,0.0815,0.0727,0.1136,0.0268,15.35,6.8355,6.8355,1.2905,30,21.0015,0,69.6281,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.3,0.1,0.5,4,0.22,0.271,0.1536,0.1133,0.1452,0.0498,29.75,6.408,6.408,2.9085,30,21.0015,0,69.6281,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.3,0.1,0.5,5,0.3,0.366,0.2907,0.0868,0.2472,0.0401,50,7.0215,7.0215,1.4825,30,21.0015,0,69.6281,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,1,0.07,0.07,0.0104,NA,NA,0,0.85,4.3215,4.3215,0,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,2,0.12,0.141,0.0389,NA,NA,0,5.4,5.9055,5.9055,3.484,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,3,0.17,0.206,0.09,NA,NA,0,19.7,7.038,7.038,1.4455,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,4,0.22,0.271,0.1747,NA,NA,0,32.75,6.72,6.72,2.999,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,5,0.3,0.366,0.3053,NA,NA,0,41.3,6.015,6.015,1.43,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.1,0.5,1,0.07,0.07,0.0088,NA,NA,0.1,0.8159,4.3141,4.3141,0,30,20.4258,0,68.5517,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.1,0.5,2,0.12,0.141,0.0264,NA,NA,0.1,4.4365,5.7292,5.7292,3.4783,30,20.4258,0,68.5517,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.1,0.5,3,0.17,0.206,0.0791,NA,NA,0.1,17.848,7.0403,7.0403,1.4748,30,20.4258,0,68.5517,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.1,0.5,4,0.22,0.271,0.1495,NA,NA,0.1,30.4946,6.7022,6.7022,3.0459,30,20.4258,0,68.5517,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.1,0.5,5,0.3,0.366,0.2856,NA,NA,0.1,46.4049,6.2142,6.2142,1.5752,30,20.4258,0,68.5517,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.2,0.5,1,0.07,0.07,0.0067,NA,NA,0.2,0.6629,4.1841,4.1841,0,30,22.2387,0,72.1597,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.2,0.5,2,0.12,0.141,0.0246,NA,NA,0.2,2.6007,4.1382,4.1382,3.2325,30,22.2387,0,72.1597,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.2,0.5,3,0.17,0.206,0.0706,NA,NA,0.2,14.2784,6.9255,6.9255,0.4921,30,22.2387,0,72.1597,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.2,0.5,4,0.22,0.271,0.1271,NA,NA,0.2,22.7945,5.3039,5.3039,3.4431,30,22.2387,0,72.1597,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0.2,0.5,5,0.3,0.366,0.294,NA,NA,0.2,59.6634,9.4482,9.4482,0.5936,30,22.2387,0,72.1597,1961,1961
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.3,0.1,0.5,1,0.07,0.07,0.0089,0.0924,0.0661,0.029,0.75,4.287,4.287,0,30,20.9835,0,69.605,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.3,0.1,0.5,2,0.12,0.141,0.0338,0.079,0.0739,0.0249,4.3,5.481,5.481,3.3185,30,20.9835,0,69.605,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.3,0.1,0.5,3,0.17,0.206,0.0838,0.0732,0.1135,0.0266,15.75,6.8505,6.8505,1.305,30,20.9835,0,69.605,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.3,0.1,0.5,4,0.22,0.271,0.1578,0.1128,0.1452,0.0491,30.95,6.441,6.441,2.9005,30,20.9835,0,69.605,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.3,0.1,0.5,5,0.3,0.366,0.294,0.0879,0.2449,0.0396,48.25,6.9405,6.9405,1.4925,30,20.9835,0,69.605,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0,0.5,1,0.07,0.07,0.0104,NA,NA,0,0.85,4.3215,4.3215,0,30,20.6415,0,69.0135,2000,2000
