"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
3,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.35,0.44,0.3661,NA,NA,NA,20.35,4.6215,4.6215,2.2615,29.787,21.404,0.9,70.4501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.45,0.555,0.4614,NA,NA,NA,7.15,2.0505,2.0505,0.3625,29.787,21.404,0.9,70.4501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,1,0.15,0.15,0.186,NA,NA,NA,7.95,7.7745,7.7745,0,29.7885,21.2785,0.9,70.1618,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,2,0.2,0.29,0.2361,NA,NA,NA,32.55,8.514,8.514,4.915,29.7885,21.2785,0.9,70.1618,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,3,0.3,0.42,0.3335,NA,NA,NA,38.4,8.04,8.04,1.1805,29.7885,21.2785,0.9,70.1618,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,4,0.35,0.53,0.3814,NA,NA,NA,15.95,4.0665,4.0665,2.1205,29.7885,21.2785,0.9,70.1618,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,5,0.45,0.66,0.4765,NA,NA,NA,4.25,1.3935,1.3935,0.294,29.7885,21.2785,0.9,70.1618,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,1,0.15,0.15,0.1982,NA,NA,NA,11.5,8.604,8.604,0,29.7915,21.303,0.9,70.2501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,2,0.2,0.335,0.2496,NA,NA,NA,36.9,9.072,9.072,5.1645,29.7915,21.303,0.9,70.2501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,3,0.3,0.48,0.3484,NA,NA,NA,36.35,7.95,7.95,1.1865,29.7915,21.303,0.9,70.2501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,4,0.35,0.62,0.3965,NA,NA,NA,12.05,3.318,3.318,1.955,29.7915,21.303,0.9,70.2501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,5,0.45,0.765,0.4912,NA,NA,NA,2.3,0.8475,0.8475,0.1825,29.7915,21.303,0.9,70.2501,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,1,0.15,0.15,0.2126,NA,NA,NA,15.3,8.91,8.91,0,29.7975,21.8175,0.85,71.4082,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,2,0.3,0.3,0.2652,NA,NA,NA,44,9.9405,9.9405,5.4105,29.7975,21.8175,0.85,71.4082,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,3,0.38,0.38,0.3651,NA,NA,NA,29.7,7.1985,7.1985,0.9735,29.7975,21.8175,0.85,71.4082,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,4,0.45,0.45,0.4132,NA,NA,NA,8.25,2.7735,2.7735,1.4475,29.7975,21.8175,0.85,71.4082,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,5,0.55,0.55,0.5072,NA,NA,NA,1.9,0.975,0.975,0.1485,29.7975,21.8175,0.85,71.4082,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,1,0.15,0.15,0.2248,NA,NA,NA,20.4,9.81,9.81,0,29.7585,21.794,1.05,71.2939,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,2,0.3,0.345,0.2786,NA,NA,NA,47.2,10.4925,10.4925,5.696,29.7585,21.794,1.05,71.2939,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.38,0.47,0.3794,NA,NA,NA,25,6.6705,6.6705,0.913,29.7585,21.794,1.05,71.2939,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.45,0.564,0.4276,NA,NA,NA,5.65,2.244,2.244,1.2555,29.7585,21.794,1.05,71.2939,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.55,0.685,0.5211,NA,NA,NA,0.7,0.5415,0.5415,0.1,29.7585,21.794,1.05,71.2939,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,1,0.15,0.15,0.2367,NA,NA,NA,24.8,10.776,10.776,0,29.766,21.6865,1.05,71.1555,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,2,0.3,0.39,0.2915,NA,NA,NA,51.65,11.001,11.001,6.036,29.766,21.6865,1.05,71.1555,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,3,0.38,0.56,0.3932,NA,NA,NA,19.85,6.123,6.123,0.9485,29.766,21.6865,1.05,71.1555,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,4,0.45,0.678,0.4414,NA,NA,NA,2.6,1.6485,1.6485,1.0535,29.766,21.6865,1.05,71.1555,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,5,0.55,0.82,0.5342,NA,NA,NA,0.05,0.2175,0.2175,0.0415,29.766,21.6865,1.05,71.1555,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,1,0.15,0.15,0.2485,NA,NA,NA,31.45,11.9805,11.9805,0,29.7945,21.756,0.9,71.3861,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,2,0.3,0.435,0.3041,NA,NA,NA,52.4,11.394,11.394,6.3375,29.7945,21.756,0.9,71.3861,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,3,0.38,0.65,0.4063,NA,NA,NA,14.3,5.244,5.244,0.865,29.7945,21.756,0.9,71.3861,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,4,0.45,0.792,0.4544,NA,NA,NA,0.95,1.0935,1.0935,0.83,29.7945,21.756,0.9,71.3861,2000,2000
4,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,5,0.55,0.955,0.5465,NA,NA,NA,0,0.0825,0.0825,0.006,29.7945,21.756,0.9,71.3861,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,1,0.3,0.3,0.2704,NA,NA,NA,41.45,15.3195,15.3195,0,26.934,22.014,16.5,68.6976,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,2,0.35,0.35,0.3258,NA,NA,NA,26.1,6.4215,6.4215,3.785,26.934,22.014,16.5,68.6976,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,3,0.4,0.4,0.4264,NA,NA,NA,11.35,3.426,3.426,0.4085,26.934,22.014,16.5,68.6976,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,4,0.45,0.45,0.4734,NA,NA,NA,3.6,1.3515,1.3515,0.67,26.934,22.014,16.5,68.6976,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,5,0.5,0.5,0.5629,NA,NA,NA,1,0.4155,0.4155,0.0565,26.934,22.014,16.5,68.6976,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,1,0.3,0.3,0.289,NA,NA,NA,50.2,17.034,17.034,0,26.727,22.102,17.75,68.7375,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,2,0.35,0.44,0.3455,NA,NA,NA,22.2,6.138,6.138,3.834,26.727,22.102,17.75,68.7375,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.4,0.505,0.4466,NA,NA,NA,7.15,2.541,2.541,0.3045,26.727,22.102,17.75,68.7375,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.45,0.57,0.4933,NA,NA,NA,2.4,0.7995,0.7995,0.45,26.727,22.102,17.75,68.7375,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.5,0.635,0.5814,NA,NA,NA,0.3,0.2145,0.2145,0.0365,26.727,22.102,17.75,68.7375,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,1,0.3,0.3,0.3045,NA,NA,NA,57,18.372,18.372,0,26.6895,22.307,18.5,69.0125,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,2,0.35,0.53,0.3617,NA,NA,NA,18.75,5.7315,5.7315,3.7555,26.6895,22.307,18.5,69.0125,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,3,0.4,0.61,0.4632,NA,NA,NA,5.15,2.049,2.049,0.279,26.6895,22.307,18.5,69.0125,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,4,0.45,0.69,0.5096,NA,NA,NA,0.5,0.468,0.468,0.335,26.6895,22.307,18.5,69.0125,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,5,0.5,0.77,0.5965,NA,NA,NA,0.1,0.069,0.069,0.013,26.6895,22.307,18.5,69.0125,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,1,0.3,0.3,0.3175,NA,NA,NA,63.45,20.073,20.073,0,26.559,22.5365,19.55,69.3509,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,2,0.35,0.62,0.3752,NA,NA,NA,14.5,4.956,4.956,3.618,26.559,22.5365,19.55,69.3509,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,3,0.4,0.715,0.4767,NA,NA,NA,2.2,1.254,1.254,0.1825,26.559,22.5365,19.55,69.3509,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,4,0.45,0.81,0.5228,NA,NA,NA,0.2,0.2475,0.2475,0.219,26.559,22.5365,19.55,69.3509,2000,2000
5,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,5,0.5,0.905,0.6086,NA,NA,NA,0.1,0.0285,0.0285,0.003,26.559,22.5365,19.55,69.3509,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,1,0.5,0.5,0.3889,NA,NA,NA,16.85,13.3665,13.3665,0,14.9685,14.0835,82.55,41.1682,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,2,0.55,0.55,0.4466,NA,NA,NA,0.5,1.23,1.23,0.848,14.9685,14.0835,82.55,41.1682,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,3,0.6,0.6,0.5443,NA,NA,NA,0.1,0.327,0.327,0.012,14.9685,14.0835,82.55,41.1682,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,4,0.65,0.65,0.5873,NA,NA,NA,0,0.0405,0.0405,0.025,14.9685,14.0835,82.55,41.1682,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,5,0.7,0.7,0.6656,NA,NA,NA,0,0.0045,0.0045,0,14.9685,14.0835,82.55,41.1682,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,1,0.5,0.5,0.4004,NA,NA,NA,15.25,13.704,13.704,0,14.7585,13.997,84.6,40.6762,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,2,0.55,0.7,0.4581,NA,NA,NA,0.15,0.894,0.894,0.753,14.7585,13.997,84.6,40.6762,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.6,0.765,0.5552,NA,NA,NA,0,0.1485,0.1485,0.003,14.7585,13.997,84.6,40.6762,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.65,0.83,0.5978,NA,NA,NA,0,0.0105,0.0105,0.0055,14.7585,13.997,84.6,40.6762,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.7,0.895,0.6749,NA,NA,NA,0,0.0015,0.0015,0,14.7585,13.997,84.6,40.6762,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,1,0.5,0.5,0.4033,NA,NA,NA,13.85,13.503,13.503,0,14.31,13.5975,86.05,39.4852,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,2,0.55,0.85,0.461,NA,NA,NA,0.1,0.7515,0.7515,0.705,14.31,13.5975,86.05,39.4852,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,3,0.6,0.93,0.5579,NA,NA,NA,0,0.0525,0.0525,0.0045,14.31,13.5975,86.05,39.4852,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,4,0.65,1,0.6003,NA,NA,NA,0,0.003,0.003,0.003,14.31,13.5975,86.05,39.4852,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,5,0.7,1,0.6771,NA,NA,NA,0,0,0,0,14.31,13.5975,86.05,39.4852,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,1,0.5,0.5,0.4003,NA,NA,NA,12.75,13.362,13.362,0,14.028,13.362,87.25,38.473,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,2,0.55,1,0.4581,NA,NA,NA,0,0.666,0.666,0.666,14.028,13.362,87.25,38.473,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,3,0.6,1,0.5553,NA,NA,NA,0,0,0,0,14.028,13.362,87.25,38.473,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,4,0.65,1,0.5978,NA,NA,NA,0,0,0,0,14.028,13.362,87.25,38.473,2000,2000
6,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,5,0.7,1,0.675,NA,NA,NA,0,0,0,0,14.028,13.362,87.25,38.473,2000,2000
