"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce1",1.5,3,0.986711901549132,0.986711901549132,0,0.00314714382927635,1,100,33,100,100,0.3,1,0.665,0.665,0.33297772693205
"sce1",1.5,3,0.986711901549132,0.986711901549132,0,0.00314714382927635,2,100,31,100,100,0.35,1,0.655,0.655,0.312883095974421
"sce1",1.5,3,0.986711901549132,0.986711901549132,0,0.00314714382927635,3,100,42,100,100,0.4,1,0.71,0.71,0.423268839941157
"sce1",1.5,3,0.986711901549132,0.986711901549132,0,0.00314714382927635,4,100,43,100,100,0.45,1,0.715,0.715,0.433287643111894
"sce1",1.5,3,0.986711901549132,0.986711901549132,0,0.00314714382927635,5,100,58,100,100,0.5,1,0.79,0.79,0.583247921693292
"sce1",1.5,4,0.986702301293113,0.986702301293113,0,0.0031450909936157,1,100,30,100,100,0.3,1,0.65,0.65,0.302833753807916
"sce1",1.5,4,0.986702301293113,0.986702301293113,0,0.0031450909936157,2,100,23,100,100,0.35,1,0.615,0.615,0.232396618746184
"sce1",1.5,4,0.986702301293113,0.986702301293113,0,0.0031450909936157,3,100,51,100,100,0.4,1,0.755,0.755,0.513343695385648
"sce1",1.5,4,0.986702301293113,0.986702301293113,0,0.0031450909936157,4,100,58,100,100,0.45,1,0.79,0.79,0.583250275952893
"sce1",1.5,4,0.986702301293113,0.986702301293113,0,0.0031450909936157,5,100,46,100,100,0.5,1,0.73,0.73,0.463330310377792
"sce1",1.5,5,0.986743780219319,0.986743780219319,0,0.00315380592001567,1,100,35,100,100,0.3,1,0.675,0.675,0.353054003028911
"sce1",1.5,5,0.986743780219319,0.986743780219319,0,0.00315380592001567,2,100,33,100,100,0.35,1,0.665,0.665,0.332970487462158
"sce1",1.5,5,0.986743780219319,0.986743780219319,0,0.00315380592001567,3,100,41,100,100,0.4,1,0.705,0.705,0.41323946752138
"sce1",1.5,5,0.986743780219319,0.986743780219319,0,0.00315380592001567,4,100,45,100,100,0.45,1,0.725,0.725,0.45330913739837
