"scenario","alpha_true","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,5,20,3,22,9,0.23,0.307,0.285714285714286,0.267898627997238,0.256517323344815
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,6,18,8,25,13,0.3,0.37,0.488372093023256,0.472309317550282,0.470953122253109
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,7,15,5,28,11,0.38,0.442,0.372093023255814,0.349337424669102,0.34846551338502
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,8,12,5,30,18,0.47,0.523,0.547619047619048,0.531173825111003,0.527713260295993
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,1,30,0,12,2,0.03,0.2725,0.0476190476190476,0.00928530351711681,0
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,2,28,3,15,3,0.06,0.295,0.13953488372093,0.0946041697037834,0.100990708162551
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,3,25,3,18,5,0.1,0.325,0.186046511627907,0.137371571442665,0.130102838412426
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,4,22,3,20,8,0.16,0.37,0.261904761904762,0.215904268982445,0.19159356719065
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,5,20,6,22,5,0.23,0.4225,0.261904761904762,0.19673739693148,0.22314363655646
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,6,18,6,25,14,0.3,0.475,0.465116279069767,0.423929791220716,0.411171197578779
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,7,15,8,28,16,0.38,0.535,0.558139534883721,0.513208820866574,0.515187047910765
"gentle_8dose",0.25,0.138674837194128,0.134594424159723,0.0532459051297899,8,12,4,30,18,0.47,0.6025,0.523809523809524,0.477809030887207,0.464798123879701
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,1,30,2,12,4,0.03,0.418,0.142857142857143,0,0.0597326646889894
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,2,28,2,15,5,0.06,0.436,0.162790697674419,0,0.061768211950962
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,3,25,4,18,10,0.1,0.46,0.325581395348837,0.18179980275455,0.165877981091031
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,4,22,4,20,11,0.16,0.496,0.357142857142857,0.191537272815509,0.184865130570086
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,5,20,4,22,14,0.23,0.538,0.428571428571429,0.281366464724897,0.231412103336023
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,6,18,6,25,17,0.3,0.58,0.534883720930233,0.391102128335946,0.36391556365963
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,7,15,2,28,21,0.38,0.628,0.534883720930233,0.409074827410232,0.271755458615033
"gentle_8dose",0.4,0.435928869473858,0.441056088382608,0.0572634961808732,8,12,3,30,23,0.47,0.682,0.619047619047619,0.490243275681904,0.405551402642779
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,1,30,3,12,0,0.08,0.08,0.0714285714285714,0.0657864502505426,0.0714285714285714
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,2,28,7,15,1,0.12,0.12,0.186046511627907,0.179617117727363,0.184209627127218
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,3,25,3,18,2,0.18,0.18,0.116279069767442,0.108931191023962,0.109977487623485
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,4,22,11,20,3,0.24,0.24,0.333333333333333,0.325340328331126,0.330638722345954
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,5,20,7,22,5,0.3,0.3,0.285714285714286,0.277721280712078,0.280069257807736
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,6,18,8,25,9,0.38,0.38,0.395348837209302,0.388000958465823,0.389174924009279
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,7,15,7,28,18,0.48,0.48,0.581395348837209,0.576802924622535,0.575500206281411
"target_middle_8dose",0,0.0193650149595445,0,0.0180767230834047,8,12,7,30,16,0.6,0.6,0.547619047619048,0.541036572911347,0.541472758174708
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,1,30,2,12,2,0.08,0.172,0.0952380952380952,0.0696314902539608,0.0680594418854538
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,2,28,2,15,2,0.12,0.208,0.0930232558139535,0.0605088225085177,0.066125318369977
