"scenario","dose","skeleton","p_true","obs_new_rate","p_pseudotrue","p_hat","p_hat_minus_true","p_hat_minus_pseudotrue","theta_ipde_true","obs_ipde_rate","theta_ipde_pseudotrue","theta_ipde_hat","theta_ipde_hat_minus_true","theta_ipde_hat_minus_pseudotrue"
3,1,0.15,0.15,0.18,0.150000000094314,0.147065840461794,-0.00293415953820603,-0.00293415963251956,0.15,0.1,0.150000000094314,0.147065840461794,-0.00293415953820603,-0.00293415963251956
3,2,0.2,0.2,0.12,0.200000000106682,0.196599863494086,-0.00340013650591364,-0.00340013661259589,0.2,0.27,0.200000000106682,0.196599863494086,-0.00340013650591364,-0.00340013661259589
3,3,0.3,0.3,0.29,0.300000000119709,0.296055347974962,-0.00394465202503774,-0.00394465214474649,0.3,0.3,0.300000000119709,0.296055347974962,-0.00394465202503774,-0.00394465214474649
3,4,0.35,0.35,0.33,0.350000000121779,0.345936802835313,-0.004063197164687,-0.00406319728646581,0.35,0.36,0.350000000121779,0.345936802835313,-0.004063197164687,-0.00406319728646581
3,5,0.45,0.45,0.46,0.450000000119091,0.445945861068515,-0.00405413893148487,-0.004054139050576,0.45,0.46,0.450000000119091,0.445945861068515,-0.00405413893148487,-0.004054139050576
4,1,0.15,0.15,0.13,0.149999999931723,0.149859038658671,-0.000140961341329432,-0.000140961273052187,0.15,0.18,0.149999999931723,0.149859038658671,-0.000140961341329432,-0.000140961273052187
4,2,0.3,0.3,0.31,0.299999999913338,0.299601005298483,-0.000398994701517108,-0.000398994614855264,0.3,0.41,0.299999999913338,0.299601005298483,-0.000398994701517108,-0.000398994614855264
4,3,0.38,0.38,0.29,0.379999999911781,0.37951730668645,-0.000482693313549998,-0.00048269322533101,0.38,0.39,0.379999999911781,0.37951730668645,-0.000482693313549998,-0.00048269322533101
4,4,0.45,0.45,0.45,0.449999999913785,0.449474730485599,-0.000525269514401239,-0.000525269428186481,0.45,0.37,0.449999999913785,0.449474730485599,-0.000525269514401239,-0.000525269428186481
4,5,0.55,0.55,0.56,0.549999999921108,0.549461137244036,-0.000538862755963598,-0.00053886267707115,0.55,0.54,0.549999999921108,0.549461137244036,-0.000538862755963598,-0.00053886267707115
5,1,0.3,0.3,0.32,0.299999999894572,0.307352769352879,0.00735276935287876,0.00735276945830715,0.3,0.28,0.299999999894572,0.307352769352879,0.00735276935287876,0.00735276945830715
5,2,0.35,0.35,0.39,0.349999999892748,0.357419340938409,0.00741934093840874,0.00741934104566022,0.35,0.34,0.349999999892748,0.357419340938409,0.00741934093840874,0.00741934104566022
5,3,0.4,0.4,0.45,0.399999999893017,0.407348647029657,0.00734864702965737,0.00734864713663991,0.4,0.38,0.399999999893017,0.407348647029657,0.00734864702965737,0.00734864713663991
5,4,0.45,0.45,0.43,0.449999999895116,0.457159676866047,0.00715967686604657,0.00715967697093106,0.45,0.46,0.449999999895116,0.457159676866047,0.00715967686604657,0.00715967697093106
5,5,0.5,0.5,0.54,0.499999999898839,0.506866978297058,0.00686697829705751,0.00686697839821898,0.5,0.48,0.499999999898839,0.506866978297058,0.00686697829705751,0.00686697839821898
6,1,0.5,0.5,0.54,0.500000000118989,0.494039326626411,-0.00596067337358896,-0.00596067349257789,0.5,0.42,0.500000000118989,0.494039326626411,-0.00596067337358896,-0.00596067349257789
6,2,0.55,0.55,0.56,0.55000000011289,0.544300207642732,-0.00569979235726792,-0.00569979247015817,0.55,0.51,0.55000000011289,0.544300207642732,-0.00569979235726792,-0.00569979247015817
6,3,0.6,0.6,0.62,0.600000000105229,0.594648936683574,-0.00535106331642621,-0.00535106342165514,0.6,0.58,0.600000000105229,0.594648936683574,-0.00535106331642621,-0.00535106342165514
6,4,0.65,0.65,0.6,0.650000000096135,0.645079257423379,-0.00492074257662112,-0.00492074267275644,0.65,0.68,0.650000000096135,0.645079257423379,-0.00492074257662112,-0.00492074267275644
6,5,0.7,0.7,0.7,0.70000000008572,0.695585803150891,-0.00441419684910871,-0.00441419693482858,0.7,0.74,0.70000000008572,0.695585803150891,-0.00441419684910871,-0.00441419693482858
