"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map"
"sce3",0.9,1,1000,0.15,0.915,15.027,91.371,0.53199,0.022959029095696,0.160332311922572,0.107788338978359,0.0103323119225718,0.150362130887154,0.0364520581253783,0.000362130887154005,0.897672813100372,0.0167235494740739,0.897672813100372,0
"sce3",0.9,2,1000,0.2,0.92,20.12,92.048,0.56084,0.0237593962235766,0.213982183919205,0.110009835134673,0.0139821839192051,0.201653530096866,0.0388479578605378,0.00165353009686552,0.897672813100372,0.0167235494740739,0.897672813100372,0
"sce3",0.9,3,1000,0.3,0.93,30.053,92.955,0.61504,0.0279119593987502,0.306142527158875,0.12145727157114,0.00614252715887462,0.300956015792972,0.0469851561993416,0.000956015792972494,0.897672813100372,0.0167235494740739,0.897672813100372,0
"sce3",0.9,4,1000,0.35,0.935,34.946,93.442,0.64194,0.0272043466467489,0.354708399628646,0.113624892125332,0.00470839962864637,0.349763302532715,0.0479651990607136,-0.000236697467284843,0.897672813100372,0.0167235494740739,0.897672813100372,0
"sce3",0.9,5,1000,0.45,0.945,45.01,94.675,0.698425,0.0267171889087004,0.464334945095016,0.104101157331914,0.0143349450950164,0.451425218907767,0.0479685819803816,0.00142521890776749,0.897672813100372,0.0167235494740739,0.897672813100372,0
"sce4",0,1,1000,0.05,0.05,4.975,5.099,0.05037,0.0158560560832294,0.0463716473845565,0.0162469342341348,-0.0036283526154435,0.0462241115123922,0.0164117190115107,-0.0037758884876078,0.00837195909969549,0.00858975707583623,0.00837195909969549,0
"sce4",0,2,1000,0.1,0.1,10.153,10.124,0.101385,0.0211932991988253,0.0975975423232944,0.0214123847802519,-0.00240245767670561,0.0975654520636434,0.0214927226571144,-0.00243454793635658,0.00837195909969549,0.00858975707583623,0.00837195909969549,0
"sce4",0,3,1000,0.18,0.18,18.138,17.929,0.180335,0.0262278606766865,0.176868163308605,0.0266796409701916,-0.00313183669139529,0.176879196399517,0.0267061068238312,-0.00312080360048334,0.00837195909969549,0.00858975707583623,0.00837195909969549,0
"sce4",0,4,1000,0.3,0.3,29.913,30.18,0.300465,0.0338171905600891,0.297514173743116,0.034219747292777,-0.00248582625688357,0.297484616263542,0.0342436930756527,-0.00251538373645776,0.00837195909969549,0.00858975707583623,0.00837195909969549,0
"sce4",0,5,1000,0.4,0.4,39.734,40.201,0.399675,0.034238745109403,0.397154948400971,0.0344684279499912,-0.0028450515990289,0.397117739009573,0.0344863138356218,-0.00288226099042722,0.00837195909969549,0.00858975707583623,0.00837195909969549,0
"sce4",0.3,1,1000,0.05,0.335,4.985,33.632,0.193085,0.0259389784996558,0.0513239964638305,0.0302661074242903,0.00132399646383048,0.0499450807407741,0.022120029799396,-5.491925922595e-05,0.300083011138183,0.0304276354343179,0.300083011138183,0
"sce4",0.3,2,1000,0.1,0.37,10.022,36.954,0.23488,0.0297013091928246,0.0996353670548095,0.0368646918690961,-0.000364632945190494,0.1000727992198,0.0292799024437345,7.27992197996876e-05,0.300083011138183,0.0304276354343179,0.300083011138183,0
"sce4",0.3,3,1000,0.18,0.426,17.957,42.621,0.30289,0.0312109279263213,0.179793911372402,0.0387215706399614,-0.000206088627598206,0.179490665240673,0.0347389276848178,-0.000509334759326667,0.300083011138183,0.0304276354343179,0.300083011138183,0
"sce4",0.3,4,1000,0.3,0.51,29.952,50.877,0.404145,0.0332008474480889,0.298641403671738,0.042587229036823,-0.00135859632826197,0.299050623633138,0.0384865009577125,-0.000949376366862077,0.300083011138183,0.0304276354343179,0.300083011138183,0
"sce4",0.3,5,1000,0.4,0.58,39.826,57.944,0.48885,0.0346190117706438,0.398446040040541,0.0436490973337765,-0.00155395995945943,0.398512759415248,0.0405332213592715,-0.00148724058475246,0.300083011138183,0.0304276354343179,0.300083011138183,0
"sce4",0.6,1,1000,0.05,0.62,5.014,61.947,0.334805,0.0271656943579572,0.0569177959704467,0.0468906928360018,0.00691779597044668,0.0502854920908376,0.0223042574940152,0.000285492090837554,0.598084416771903,0.0265716741090652,0.598084416771903,0
"sce4",0.6,2,1000,0.1,0.64,10.046,63.823,0.369345,0.0287266635061609,0.100893286988566,0.0544070310797219,0.000893286988565939,0.100475644837335,0.0292664265214228,0.000475644837335389,0.598084416771903,0.0265716741090652,0.598084416771903,0
"sce4",0.6,3,1000,0.18,0.672,17.97,67.436,0.42703,0.0290598274869892,0.184599992921462,0.053924281781056,0.00459999292146229,0.180555116823118,0.036085378665392,0.000555116823117523,0.598084416771903,0.0265716741090652,0.598084416771903,0
"sce4",0.6,4,1000,0.3,0.72,29.876,71.643,0.507595,0.0313843265174028,0.296378644672214,0.0574649708676549,-0.00362135532778639,0.297920953628793,0.0433740915033846,-0.00207904637120741,0.598084416771903,0.0265716741090652,0.598084416771903,0
"sce4",0.6,5,1000,0.4,0.76,40.198,76.147,0.581725,0.033377588864962,0.404009169155292,0.0592804009059655,0.00400916915529223,0.402715676415075,0.0461525195493581,0.0027156764150752,0.598084416771903,0.0265716741090652,0.598084416771903,0
"sce4",0.9,1,1000,0.05,0.905,4.923,90.427,0.47675,0.0181705164392118,0.0803543822102724,0.0874326199906322,0.0303543822102724,0.0492607827158327,0.0224708997419506,-0.000739217284167267,0.898876485128997,0.0151277693635782,0.898876485128997,0
"sce4",0.9,2,1000,0.1,0.91,9.984,91.189,0.505865,0.021385371381136,0.127309802273202,0.104931610166053,0.027309802273202,0.100182824471282,0.0307115450681433,0.000182824471282234,0.898876485128997,0.0151277693635782,0.898876485128997,0
"sce4",0.9,3,1000,0.18,0.918,17.993,92.002,0.549975,0.0242592845708171,0.19935312479765,0.114927834842491,0.0193531247976495,0.180509338229333,0.0383312293853884,0.000509338229333013,0.898876485128997,0.0151277693635782,0.898876485128997,0
"sce4",0.9,4,1000,0.3,0.93,30.098,93.034,0.61566,0.0267774425857182,0.30659249790274,0.121751847760669,0.00659249790273985,0.30127997042339,0.0460414838083604,0.00127997042339049,0.898876485128997,0.0151277693635782,0.898876485128997,0
"sce4",0.9,5,1000,0.4,0.94,39.844,93.975,0.669095,0.0271761755867068,0.401680750332109,0.11681959813767,0.00168075033210918,0.398722200860086,0.0470590637829207,-0.00127779913991423,0.898876485128997,0.0151277693635782,0.898876485128997,0
"sce5",0,1,1000,0.07,0.07,7.076,7.118,0.07097,0.0185648526456246,0.0666648354073646,0.0188914648785737,-0.00333516459263542,0.066523801952862,0.0190527182383113,-0.00347619804713797,0.00920770326545692,0.00988546159908391,0.00920770326545692,0
"sce5",0,2,1000,0.12,0.12,11.977,12.015,0.11996,0.0235882344571357,0.115884851040486,0.0239685253438952,-0.00411514895951391,0.115767041369755,0.0240475919758918,-0.00423295863024503,0.00920770326545692,0.00988546159908391,0.00920770326545692,0
"sce5",0,3,1000,0.17,0.17,17.079,16.975,0.17027,0.0268644523264257,0.166402661182843,0.027387321681486,-0.00359733881715663,0.166431829239111,0.0274157213385301,-0.00356817076088902,0.00920770326545692,0.00988546159908391,0.00920770326545692,0
"sce5",0,4,1000,0.22,0.22,21.927,22.007,0.21967,0.0304642276969098,0.216050659725955,0.0307652394730204,-0.00394934027404497,0.216016598220155,0.030822896982536,-0.00398340177984467,0.00920770326545692,0.00988546159908391,0.00920770326545692,0
"sce5",0,5,1000,0.3,0.3,29.918,29.998,0.29958,0.0325235511803582,0.296325594642861,0.0329096703415398,-0.0036744053571389,0.296314359175789,0.0328763563187576,-0.00368564082421057,0.00920770326545692,0.00988546159908391,0.00920770326545692,0
"sce5",0.3,1,1000,0.07,0.349,6.982,34.983,0.209825,0.0268386789855553,0.0704829652869305,0.0332647811822597,0.000482965286930538,0.0699547755918907,0.0242019865164972,-4.52244081093197e-05,0.300209389568747,0.0295997611275135,0.300209389568747,0
"sce5",0.3,2,1000,0.12,0.384,12.012,38.206,0.25109,0.0295124191296289,0.118409094792375,0.0369047613923458,-0.00159090520762542,0.119505965225708,0.0302571800162306,-0.0004940347742918,0.300209389568747,0.0295997611275135,0.300209389568747,0
"sce5",0.3,3,1000,0.17,0.419,17.057,42.048,0.295525,0.0300466666566722,0.171108753794229,0.0374895391153581,0.00110875379422854,0.170615797241964,0.0336621538250671,0.000615797241963713,0.300209389568747,0.0295997611275135,0.300209389568747,0
"sce5",0.3,4,1000,0.22,0.454,21.914,45.495,0.337045,0.0328309434199787,0.219968285525927,0.0414700448832647,-3.17144740734703e-05,0.219594269005913,0.0366365716205949,-0.000405730994086994,0.300209389568747,0.0295997611275135,0.300209389568747,0
"sce5",0.3,5,1000,0.3,0.51,29.846,50.938,0.40392,0.0359364025053291,0.298544027868686,0.0448661081483758,-0.00145597213131357,0.298535556260793,0.041230785853631,-0.00146444373920676,0.300209389568747,0.0295997611275135,0.300209389568747,0
"sce5",0.6,1,1000,0.07,0.628,6.976,62.84,0.34908,0.0283223543469775,0.0752509914438684,0.0529714011012023,0.00525099144386839,0.0701037924989383,0.0256815762810567,0.00010379249893833,0.598161648083758,0.0265733917622805,0.598161648083758,0
"sce5",0.6,2,1000,0.12,0.648,11.948,64.674,0.38311,0.0288063831070079,0.120369489028883,0.0564390303791325,0.000369489028882929,0.119557743072571,0.0313976661579771,-0.000442256927428696,0.598161648083758,0.0265733917622805,0.598161648083758,0
"sce5",0.6,3,1000,0.17,0.668,17.006,66.961,0.419835,0.0300299779316365,0.173938071876988,0.0584221670434375,0.00393807187698834,0.170667478410652,0.0368104572925168,0.000667478410651922,0.598161648083758,0.0265733917622805,0.598161648083758,0
"sce5",0.6,4,1000,0.22,0.688,21.951,68.621,0.45286,0.0301285268164265,0.219115079132616,0.0571759474938887,-0.000884920867384458,0.21940388418177,0.0377552430768468,-0.000596115818230033,0.598161648083758,0.0265733917622805,0.598161648083758,0
"sce5",0.6,5,1000,0.3,0.72,30.081,71.869,0.50975,0.0315227089759301,0.300078301324464,0.0597764616007151,7.83013244641693e-05,0.300600629067149,0.04235849848576,0.000600629067149107,0.598161648083758,0.0265733917622805,0.598161648083758,0
"sce5",0.9,1,1000,0.07,0.907,7.04,90.709,0.488745,0.019014771535218,0.100583898209466,0.0942005878958,0.0305838982094663,0.070539210985231,0.0267719295573216,0.000539210985230959,0.897791426668093,0.0146043799605447,0.897791426668093,0
"sce5",0.9,2,1000,0.12,0.912,12.09,91.113,0.516015,0.022546687741842,0.137591588160994,0.108072825622539,0.0175915881609936,0.121084127043726,0.0329145924234682,0.00108412704372586,0.897791426668093,0.0146043799605447,0.897791426668093,0
"sce5",0.9,3,1000,0.17,0.917,16.972,91.704,0.54338,0.0237863698657738,0.184654227715035,0.115993437147038,0.0146542277150353,0.170067423791372,0.0381017800975203,6.74237913723451e-05,0.897791426668093,0.0146043799605447,0.897791426668093,0
"sce5",0.9,4,1000,0.22,0.922,21.721,92.109,0.56915,0.0238756685256674,0.224839589210682,0.11398562072349,0.00483958921068172,0.217401165806004,0.0404228666094106,-0.00259883419399556,0.897791426668093,0.0146043799605447,0.897791426668093,0
"sce5",0.9,5,1000,0.3,0.93,30.021,93.041,0.61531,0.0253356625292451,0.30997976736742,0.116051406194524,0.00997976736741986,0.30077113612644,0.0437255648503189,0.000771136126440473,0.897791426668093,0.0146043799605447,0.897791426668093,0
