"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random"
"sce2",0.3,3,100,0.38,0.47,3.44,4.01,0.413888888888889,0.127660610898622,0.382827246248038,0.13743738835031,0.00282724624803834,0.378864020044918,0.145535195651256,-0.00113597995508177,0.403402726457783,0.0610747811570754,0.0234027264577827,0.0983293928820583,0.0924470243887329,0.0983293928820583,0,0.0805710443457457,0.0528013964445347
"sce2",0.3,4,100,0.45,0.564,3.9,5.04,0.496666666666667,0.114923376502093,0.473213809550247,0.120249704227012,0.0232138095502466,0.467177517812116,0.121539772936162,0.0171775178121161,0.471406042770968,0.0590771046559334,0.0214060427709681,0.0983293928820583,0.0924470243887329,0.0983293928820583,0,0.0805710443457457,0.0528013964445347
"sce2",0.3,5,100,0.55,0.685,4.74,6.15,0.605,0.119726326745101,0.586392167038525,0.127484879481155,0.0363921670385253,0.581023517114234,0.12916484979156,0.0310235171142337,0.568018223098326,0.0534992577161005,0.0180182230983261,0.0983293928820583,0.0924470243887329,0.0983293928820583,0,0.0805710443457457,0.0528013964445347
"sce2",0.6,1,100,0.15,0.15,1.45,1.33,0.154444444444444,0.0888397731869724,0.079949082710421,0.0826587349172907,-0.070050917289579,0.109336149935785,0.0889290641178487,-0.0406638500642148,0.217500501565603,0.0424829205690248,0.0675005015656027,0.174323232734329,0.136654798457027,0.174323232734329,0,0.0878380196485522,0.0684186491152184
"sce2",0.6,2,100,0.3,0.39,2.53,3.53,0.336666666666667,0.114379537672759,0.268398559137294,0.135420038718974,-0.0316014408627058,0.267481414670967,0.142347294679079,-0.0325185853290328,0.375878991286331,0.0476108479676943,0.0758789912863313,0.174323232734329,0.136654798457027,0.174323232734329,0,0.0878380196485522,0.0684186491152184
"sce2",0.6,3,100,0.38,0.56,3.04,5.09,0.451666666666667,0.102242897923682,0.406524199938062,0.116469481354082,0.0265241999380624,0.387172999610574,0.119466623761447,0.00717299961057371,0.454175871633614,0.046605144350702,0.0741758716336141,0.174323232734329,0.136654798457027,0.174323232734329,0,0.0878380196485522,0.0684186491152184
"sce2",0.6,4,100,0.45,0.678,4.12,6.27,0.577222222222222,0.103527688528511,0.54272861366491,0.12339731285165,0.0927286136649102,0.522228387663711,0.139607697244265,0.0722283876637108,0.520438573149431,0.0443350095623041,0.0704385731494305,0.174323232734329,0.136654798457027,0.174323232734329,0,0.0878380196485522,0.0684186491152184
"sce2",0.6,5,100,0.55,0.82,4.89,7.51,0.688888888888889,0.105940287693955,0.670573116544087,0.118258091187047,0.120573116544087,0.650303368137746,0.126764573948665,0.100303368137746,0.612312800152778,0.0393376704881109,0.062312800152778,0.174323232734329,0.136654798457027,0.174323232734329,0,0.0878380196485522,0.0684186491152184
"sce2",0.9,1,100,0.15,0.15,1.18,1.37,0.141666666666667,0.0716675584384959,0.0414097308777752,0.0607890606714588,-0.108590269122225,0.087146577796467,0.0674556838925682,-0.062853422203533,0.249999680087524,0.043860827349732,0.0999996800875244,0.247244688455164,0.151274446137344,0.247244688455164,0,0.0756792350283196,0.0604217264273951
"sce2",0.9,2,100,0.3,0.435,2.48,4.07,0.363888888888889,0.112054079456231,0.274930036881555,0.1328609156336,-0.025069963118445,0.264978259279589,0.13780399529959,-0.0350217407204111,0.411262249730958,0.0466605707626241,0.111262249730958,0.247244688455164,0.151274446137344,0.247244688455164,0,0.0756792350283196,0.0604217264273951
"sce2",0.9,3,100,0.38,0.65,3.36,5.78,0.507777777777778,0.124606876515792,0.446701010586977,0.15082342962465,0.0667010105869765,0.425111095001243,0.14940916871996,0.0451110950012435,0.488450127054501,0.0448479642816603,0.108450127054501,0.247244688455164,0.151274446137344,0.247244688455164,0,0.0756792350283196,0.0604217264273951
"sce2",0.9,4,100,0.45,0.792,4.06,7.27,0.629444444444444,0.110281696690863,0.596589169965978,0.128363087525459,0.146589169965978,0.557983991515671,0.145930252195832,0.107983991515671,0.552793109010206,0.0421030102640514,0.102793109010206,0.247244688455164,0.151274446137344,0.247244688455164,0,0.0756792350283196,0.0604217264273951
"sce2",0.9,5,100,0.55,0.955,4.87,8.6,0.748333333333333,0.081853680068557,0.740472549976646,0.0888608591619341,0.190472549976646,0.694484021429055,0.118390823679469,0.144484021429055,0.640752991758239,0.0367695793329213,0.0907529917582392,0.247244688455164,0.151274446137344,0.247244688455164,0,0.0756792350283196,0.0604217264273951
"sce3",0,1,100,0.15,0.15,1.37,1.3,0.148333333333333,0.0868792896721474,0.121989986825845,0.0940150802909689,-0.0280100131741553,0.120690015170645,0.0976740240568563,-0.0293099848293552,0.15286733147376,0.0418195979343055,0.00286733147376022,0.0598349615831949,0.0545798583731568,0.0598349615831949,0,0.0739207971069338,0.0621562211617676
"sce3",0,2,100,0.2,0.2,1.77,1.65,0.19,0.093490594891058,0.164105336817958,0.09830926271912,-0.0358946631820418,0.165344068650634,0.101278938977671,-0.0346559313493661,0.201410622085323,0.0473175770992635,0.00141062208532337,0.0598349615831949,0.0545798583731568,0.0598349615831949,0,0.0739207971069338,0.0621562211617676
"sce3",0,3,100,0.3,0.3,2.38,2.69,0.281666666666667,0.116922918834362,0.259224373384838,0.120259745702797,-0.0407756266151622,0.258686067695876,0.11981759479165,-0.0413139323041243,0.298621962563016,0.0536902822620438,-0.00137803743698444,0.0598349615831949,0.0545798583731568,0.0598349615831949,0,0.0739207971069338,0.0621562211617676
"sce3",0,4,100,0.35,0.35,2.98,3.24,0.345555555555556,0.105521584704308,0.324181058733917,0.110666890216191,-0.0258189412660828,0.325546652544607,0.11054517460485,-0.0244533474553926,0.347424560090292,0.0550601957634669,-0.00257543990970771,0.0598349615831949,0.0545798583731568,0.0598349615831949,0,0.0739207971069338,0.0621562211617676
