"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
456,12,2,"five_scenarios_txt",3,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.44,0.6,0.3698,0.5478,0.4368,0.1379,NA,NA,29,22.1,6.741,6.741,0,29.13,29.13,0.1,0.1,5.5,1614.2264,1000,1000
457,13,3,"five_scenarios_txt",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.21,0.05,0.2421,0.1072,0.0345,0.138,NA,NA,43.7,9,8.199,8.199,0,22.431,22.431,2.2,2.2,41.9,1240.4972,1000,1000
457,13,3,"five_scenarios_txt",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.29,0.3,0.293,0.3693,0.2814,0.138,NA,NA,19.8,29.5,6.345,6.345,0,22.431,22.431,2.2,2.2,41.9,1240.4972,1000,1000
457,13,3,"five_scenarios_txt",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.3,0.32,0.3886,0.4146,0.298,0.138,NA,NA,19.3,13.7,4.467,4.467,0,22.431,22.431,2.2,2.2,41.9,1240.4972,1000,1000
457,13,3,"five_scenarios_txt",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.39,0.35,0.4346,0.4504,0.32,0.138,NA,NA,10.7,3.9,2.376,2.376,0,22.431,22.431,2.2,2.2,41.9,1240.4972,1000,1000
457,13,3,"five_scenarios_txt",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.46,0.4,0.5243,0.4859,0.3287,0.138,NA,NA,4.3,2,1.044,1.044,0,22.431,22.431,2.2,2.2,41.9,1240.4972,1000,1000
458,14,4,"five_scenarios_txt",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.09,0.05,0.1248,0.125,0.0876,0.139,NA,NA,9.6,17.8,5.91,5.91,0,28.032,28.032,0.2,0.2,12.9,1556.1316,1000,1000
458,14,4,"five_scenarios_txt",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.15,0.08,0.1653,0.1711,0.1215,0.139,NA,NA,6.9,11.9,5.241,5.241,0,28.032,28.032,0.2,0.2,12.9,1556.1316,1000,1000
458,14,4,"five_scenarios_txt",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.23,0.12,0.2505,0.2024,0.1272,0.139,NA,NA,24.4,14,5.982,5.982,0,28.032,28.032,0.2,0.2,12.9,1556.1316,1000,1000
458,14,4,"five_scenarios_txt",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.28,0.3,0.2951,0.3631,0.2745,0.139,NA,NA,30.9,29.2,6.147,6.147,0,28.032,28.032,0.2,0.2,12.9,1556.1316,1000,1000
