"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","IPDE_Design","New_Patient_First","N_Eval_Escalate","D_Cap","Dose_Cap","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0357,28,30,2,1,1,3,100,3,1,1,2,0.34,0.601,0.3212,NA,NA,NA,23.95,6.198,6.198,0,27.5235,27.5235,13.1,772.8884,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0357,28,30,2,1,1,3,100,3,1,1,3,0.38,0.686,0.4215,NA,NA,NA,12.5,3.5595,3.5595,0,27.5235,27.5235,13.1,772.8884,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0357,28,30,2,1,1,3,100,3,1,1,4,0.43,0.772,0.4684,NA,NA,NA,5.65,1.5975,1.5975,0,27.5235,27.5235,13.1,772.8884,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0357,28,30,2,1,1,3,100,3,1,1,5,0.52,0.907,0.558,NA,NA,NA,0.95,0.522,0.522,0,27.5235,27.5235,13.1,772.8884,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","crm_r_fixed",NA,NA,"crm_r_fixed",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,1,0.29,0.29,0.2664,0,NA,NA,44.25,15.705,15.705,0,27.5535,27.5535,13,1518.1233,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","crm_r_fixed",NA,NA,"crm_r_fixed",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,2,0.34,0.601,0.3215,NA,NA,NA,23.65,6.1935,6.1935,0,27.5535,27.5535,13,1518.1233,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","crm_r_fixed",NA,NA,"crm_r_fixed",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,3,0.38,0.686,0.4218,NA,NA,NA,12.55,3.555,3.555,0,27.5535,27.5535,13,1518.1233,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","crm_r_fixed",NA,NA,"crm_r_fixed",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,4,0.43,0.772,0.4687,NA,NA,NA,5.7,1.593,1.593,0,27.5535,27.5535,13,1518.1233,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","crm_r_fixed",NA,NA,"crm_r_fixed",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,5,0.52,0.907,0.5583,NA,NA,NA,0.85,0.507,0.507,0,27.5535,27.5535,13,1518.1233,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,1,0.29,0.29,0.2668,0.075,NA,NA,44.25,15.6825,15.6825,0,27.5385,27.5385,13,1517.441,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,2,0.34,0.601,0.3219,NA,NA,NA,23.9,6.21,6.21,0,27.5385,27.5385,13,1517.441,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,3,0.38,0.686,0.4222,NA,NA,NA,12.3,3.5685,3.5685,0,27.5385,27.5385,13,1517.441,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,4,0.43,0.772,0.4691,NA,NA,NA,5.7,1.5645,1.5645,0,27.5385,27.5385,13,1517.441,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC6",6,1,1,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.0179,28,30,2,1,1,3,100,3,1,1,5,0.52,0.907,0.5587,NA,NA,NA,0.85,0.513,0.513,0,27.5385,27.5385,13,1517.441,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
