"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random","e_true","true_boin12_utility","mean_eR","mean_eI","mean_eff_obs","sd_eff_obs","mean_p2_hat_approx1","sd_p2_hat_approx1","mean_attribution_weight","sd_attribution_weight","mean_boin12_raw_utility","sd_boin12_raw_utility","bias_boin12_raw_utility","mean_boin12_modified_utility","sd_boin12_modified_utility","bias_boin12_modified_utility","mean_r_hat_boin12_adaptive","sd_r_hat_boin12_adaptive"
"sce4",0.3,2,1,0.1,0.115,0,3,0.166666666666667,NA,0.112647561496121,NA,0.0126475614961211,0.0316189037403028,NA,-0.0683810962596972,NA,NA,NA,0.139457248234168,NA,0.139457248234168,0,NA,NA,0.35,0.57,3,3,0.333333333333333,NA,0.0316189063095026,NA,0.163256521694763,NA,0.53,NA,-0.0399999999999999,0.580204608698314,NA,0.0102046086983143,0.139457248234168,NA
"sce4",0.3,3,1,0.18,0.21,1,2,0.166666666666667,NA,0.10364437730103,NA,-0.0763556226989698,0.106864397422983,NA,-0.0731356025770174,NA,NA,NA,0.139457248234168,NA,0.139457248234168,0,NA,NA,0.36,0.544,1,3,0.222222222222222,NA,0.106864397452974,NA,0.397381067801829,NA,0.47,NA,-0.074,0.494104757287927,NA,-0.0498952427120732,0.139457248234168,NA
"sce4",0.3,4,1,0.3,0.354,2,3,0.277777777777778,NA,0.223758672607232,NA,-0.0762413273927677,0.223349653607659,NA,-0.0766503463923413,NA,NA,NA,0.139457248234168,NA,0.139457248234168,0,NA,NA,0.37,0.502,2,1,0.166666666666667,NA,0.223349649828982,NA,0.579516381162411,NA,0.4,NA,-0.102,0.425229017130255,NA,-0.0767709828697447,0.139457248234168,NA
"sce4",0.3,5,1,0.4,0.49,5,3,0.444444444444444,NA,0.390425339273899,NA,-0.00957466072610108,0.417276895879322,NA,0.0172768958793219,NA,NA,NA,0.139457248234168,NA,0.139457248234168,0,NA,NA,0.38,0.468,3,6,0.5,NA,0.417276889623223,NA,0.720269726739314,NA,0.52,NA,0.052,0.536783816395641,NA,0.0687838163956411,0.139457248234168,NA
"sce5",0.3,1,1,0.07,0.07,2,1,0.166666666666667,NA,0.160022686795071,NA,0.0900226867950706,0.162753778740311,NA,0.0927537787403109,NA,NA,NA,0.0147287749218349,NA,0.0147287749218349,0,NA,NA,0.2,0.492,2,1,0.166666666666667,NA,0.16275378117517,NA,0.915876620376518,NA,0.44,NA,-0.052,0.44168246759247,NA,-0.0503175324075305,0.0147287749218349,NA
"sce5",0.3,2,1,0.12,0.141,2,1,0.166666666666667,NA,0.160022686795071,NA,0.0400226867950706,0.162753778740311,NA,0.0427537787403109,NA,NA,NA,0.0147287749218349,NA,0.0147287749218349,0,NA,NA,0.35,0.562,3,4,0.388888888888889,NA,0.16275378117517,NA,0.915876620376518,NA,0.56,NA,-0.00200000000000011,0.56168246759247,NA,-0.000317532407530408,0.0147287749218349,NA
"sce5",0.3,3,1,0.17,0.206,2,2,0.222222222222222,NA,0.216408739834576,NA,0.0464087398345756,0.216602658514831,NA,0.0466026585148307,NA,NA,NA,0.0147287749218349,NA,0.0147287749218349,0,NA,NA,0.36,0.548,2,4,0.333333333333333,NA,0.216602664391788,NA,0.935440076951268,NA,0.51,NA,-0.0379999999999999,0.512582396921949,NA,-0.0354176030780505,0.0147287749218349,NA
"sce5",0.3,4,1,0.22,0.271,2,0,0.111111111111111,NA,0.103636633755565,NA,-0.116363366244435,0.111111111111111,NA,-0.108888888888889,NA,NA,NA,0.0147287749218349,NA,0.0147287749218349,0,NA,NA,0.37,0.534,4,5,0.5,NA,0.111111112836589,NA,0.881414035372962,NA,0.64,NA,0.106,0.64,NA,0.106,0.0147287749218349,NA
"sce5",0.3,5,1,0.3,0.366,1,3,0.222222222222222,NA,0.217239237318525,NA,-0.0827607626814748,0.213651912087365,NA,-0.0863480879126345,NA,NA,NA,0.0147287749218349,NA,0.0147287749218349,0,NA,NA,0.38,0.508,3,5,0.444444444444444,NA,0.213651912914248,NA,0.934606745519481,NA,0.57,NA,0.0620000000000001,0.573923595268831,NA,0.0659235952688311,0.0147287749218349,NA
"sce6",0.3,1,1,0.5,0.5,3,3,0.333333333333333,NA,0.230903644229691,NA,-0.269096355770309,0.268209796365264,NA,-0.231790203634736,NA,NA,NA,0.235058239982849,NA,0.235058239982849,0,NA,NA,0.2,0.32,1,1,0.111111111111111,NA,0.268209792321838,NA,0.466047478344244,NA,0.35,NA,0.03,0.382037151299345,NA,0.0620371512993453,0.235058239982849,NA
"sce6",0.3,2,1,0.55,0.7,6,7,0.722222222222222,NA,0.688078992521008,NA,0.138078992521008,0.684152160578352,NA,0.134152160578352,NA,NA,NA,0.235058239982849,NA,0.235058239982849,0,NA,NA,0.35,0.39,1,1,0.111111111111111,NA,0.684152162674351,NA,0.690058212209422,NA,0.21,NA,-0.18,0.253391850290681,NA,-0.136608149709319,0.235058239982849,NA
"sce6",0.3,3,1,0.6,0.765,4,7,0.611111111111111,NA,0.576967881409897,NA,-0.0230321185901028,0.547945963713857,NA,-0.0520540362861429,NA,NA,NA,0.235058239982849,NA,0.235058239982849,0,NA,NA,0.36,0.376,2,3,0.277777777777778,NA,0.547945963513691,NA,0.640696351019862,NA,0.34,NA,-0.036,0.390302510857219,NA,0.0143025108572193,0.235058239982849,NA
"sce6",0.3,4,1,0.65,0.83,6,9,0.833333333333333,NA,0.833333333333333,NA,0.183333333333333,0.806667605352037,NA,0.156667605352037,NA,NA,NA,0.235058239982849,NA,0.235058239982849,0,NA,NA,0.37,0.362,1,3,0.222222222222222,NA,0.806667608970403,NA,0.72414630312488,NA,0.23,NA,-0.132,0.279653665437522,NA,-0.0823463345624785,0.235058239982849,NA
"sce6",0.3,5,1,0.7,0.895,9,9,1,NA,1,NA,0.3,1,NA,0.3,NA,NA,NA,0.235058239982849,NA,0.235058239982849,0,NA,NA,0.38,0.348,4,2,0.333333333333333,NA,1,NA,0.764941760017151,NA,0.23,NA,-0.118,0.272310483196913,NA,-0.0756895168030873,0.235058239982849,NA
