"Plot_Alpha","Source_Alpha","Gap","Display_Method","Model","CRM_r_model","CFO_Method","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found","n_scenarios_paired_with_oracle"
0,0,"0.10","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0476,0.0476,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0467,0.0467,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0464,0.0464,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0474,0.0474,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0464,0.0464,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0606,0.0606,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0456,0.0456,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0463,0.0463,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","MCSE of MTD selection %",0.0475,0.0475,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",-0.2937,-0.2937,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",1.1031,1.1031,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",0.1759,0.1759,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",-1.2728,-1.2728,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",-0.5861,-0.5861,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",-0.5811,-0.5811,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",-1.7825,-1.7825,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",0.2374,0.2374,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",-1.0642,-1.0642,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Mean paired MTD selection difference vs oracle %",-0.2772,-0.2772,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",5.9534,5.9534,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",12.0244,12.0244,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",3.4942,3.4942,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",5.6791,5.6791,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",8.6615,8.6615,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",3.4978,3.4978,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",5.2264,5.2264,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",7.605,7.605,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",3.4235,3.4235,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","SD paired MTD selection difference vs oracle %",10.0188,10.0188,30,9790,9770
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average MTD selection %",34.1348,34.1348,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",34.5358,34.5358,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",36.83,36.83,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average MTD selection %",34.5974,34.5974,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",34.5191,34.5191,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average MTD selection %",51.0221,51.0221,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",50.5552,50.5552,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",51.6382,51.6382,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average MTD selection %",50.5886,50.5886,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",50.3331,50.3331,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average MTD selection %",60.6721,60.6721,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",59.19,59.19,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",61.3074,61.3074,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average MTD selection %",59.3005,59.3005,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD selection %",60.7513,60.7513,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",59.4232,59.4232,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average MTD allocation",8.4208,28.0693333333333,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",8.5111,28.3703333333333,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",8.8524,29.508,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average MTD allocation",8.4485,28.1616666666667,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",8.4198,28.066,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average MTD allocation",11.3729,37.9096666666667,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",11.2826,37.6086666666667,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",11.3499,37.833,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average MTD allocation",11.2095,37.365,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",11.159,37.1966666666667,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average MTD allocation",13.2081,44.027,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",12.8773,42.9243333333333,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",12.9447,43.149,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average MTD allocation",12.8494,42.8313333333333,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD allocation",12.3622,41.2073333333333,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",12.8756,42.9186666666667,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average overdose selection %",18.9063,18.9063,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",23.9912,23.9912,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",34.947,34.947,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average overdose selection %",22.6563,22.6563,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",25.2668,25.2668,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average overdose selection %",18.536,18.536,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",23.7355,23.7355,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",30.8909,30.8909,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average overdose selection %",21.7094,21.7094,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",23.819,23.819,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average overdose selection %",16.7485,16.7485,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",21.2672,21.2672,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",24.9695,24.9695,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average overdose selection %",19.3563,19.3563,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose selection %",18.0066,18.0066,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",20.7364,20.7364,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average overdose allocation",4.9643,16.5476666666667,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",5.9403,19.801,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",8.5261,28.4203333333333,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average overdose allocation",5.858,19.5266666666667,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.0891,20.297,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average overdose allocation",5.5198,18.3993333333333,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",6.6406,22.1353333333333,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",8.6026,28.6753333333333,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average overdose allocation",6.4295,21.4316666666667,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.5258,21.7526666666667,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average overdose allocation",5.7712,19.2373333333333,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",6.8692,22.8973333333333,30,10000,9980
