"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","Scenario_Group","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,4,0.6,0.6,0.5218,NA,NA,0,0.9151,0.5079,0.5079,0.3015,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,5,0.77,0.77,0.5997,NA,NA,0,0.0508,0.0229,0.0229,0.0122,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,1,0.2,0.2,0.1305,NA,NA,0,37.0615,13.0752,13.0752,0,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,2,0.3,0.36,0.2802,NA,NA,0,52.1098,12.2883,12.2883,5.1159,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,3,0.5,0.59,0.4418,NA,NA,0,7.1683,3.5796,3.5796,1.2237,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,4,0.6,0.75,0.5676,NA,NA,0,0.4575,0.3371,0.3371,0.2262,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,5,0.77,0.95,0.6661,NA,NA,0,0,0.0107,0.0107,0.0061,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,1,0.2,0.2,0.1305,NA,NA,0,37.0615,13.0752,13.0752,0,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,2,0.3,0.36,0.2802,NA,NA,0,52.1098,12.2883,12.2883,5.1159,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,30,2,1,1,0,3,0.5,0.59,0.4418,NA,NA,0,7.1683,3.5796,3.5796,1.2237,29.2908,22.7189,3.2028,358.3412,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
