"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","prior_label","a_r","b_r","n_regular","n_ipde","true_ipde_probability"
2,0.2,0.188902627965845,0.164723870558911,"sce5",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
3,0.4,0.309275978285913,0.327074919959057,"sce5",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.4
4,0.45,0.387004993800251,0.399031083811209,"sce5",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.45
5,0.5,0.395218675782653,0.386249812721081,"sce5",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.5
1,0.1,0.128619900960773,0.128619900960773,"sce5",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
2,0.2,0.189185266575023,0.192325589778101,"sce5",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
3,0.4,0.357205935174385,0.358050943930018,"sce5",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.4
4,0.45,0.410532896541944,0.42503354903127,"sce5",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.45
5,0.5,0.460299345303846,0.414447498246096,"sce5",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.5
1,0.1,0.164043701291122,0.164043701291122,"sce5",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
2,0.2,0.287856206288545,0.294703586975602,"sce5",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
3,0.4,0.386722359406919,0.432278149803558,"sce5",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.4
4,0.45,0.457006784431297,0.477427642665054,"sce5",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.45
5,0.5,0.552750521443645,0.502301947622215,"sce5",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.5
1,0.2,0.174147645434008,0.174147645434008,"sce1",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
2,0.35,0.243837923736272,0.307337116255732,"sce1",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.41
3,0.36,0.286678968181314,0.388045463452141,"sce1",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.465
4,0.37,0.297232297505178,0.372606539315664,"sce1",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.478
5,0.38,0.30727571209097,0.390833027992125,"sce1",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.491
1,0.2,0.205530423839694,0.205530423839694,"sce1",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
2,0.35,0.31316358724322,0.35722147942079,"sce1",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.41
3,0.36,0.330273709424406,0.369861101102506,"sce1",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.465
4,0.37,0.266793465528783,0.395784048100913,"sce1",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.478
5,0.38,0.318164596452074,0.397330034236132,"sce1",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.491
1,0.2,0.23417809204115,0.23417809204115,"sce1",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
2,0.35,0.342993629149157,0.399374077670957,"sce1",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.41
3,0.36,0.306955637779298,0.414118833504005,"sce1",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.465
4,0.37,0.367074077942462,0.384380968626567,"sce1",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.478
5,0.38,0.385120885659051,0.442871891989215,"sce1",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.491
1,0.2,0.241196950267107,0.241196950267107,"sce1",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
2,0.35,0.368042893467169,0.439824638707419,"sce1",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.41
3,0.36,0.40192081606728,0.505021366393512,"sce1",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.465
4,0.37,0.427915735369915,0.4875508537104,"sce1",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.478
5,0.38,0.424875004787133,0.49749714182935,"sce1",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.491
1,0.01,0.00903407009431339,0.00903407009431339,"sce2",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0341547725746921,0.0471088626191021,"sce2",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.053
3,0.3,0.21610417080873,0.207493217148409,"sce2",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.315
4,0.6,0.423959945463546,0.542676564547142,"sce2",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.69
5,0.6,0.441346910016345,0.59722070315214,"sce2",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.78
1,0.01,0.0226489488863918,0.0226489488863918,"sce2",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0522071681433022,0.075036496968758,"sce2",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.053
3,0.3,0.259510804055467,0.271685248039581,"sce2",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.315
4,0.6,0.485653513933176,0.539599525801648,"sce2",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.69
5,0.6,0.50629750429416,0.602091975830002,"sce2",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.78
1,0.01,0.0454441166066255,0.0454441166066255,"sce2",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.121862222696537,0.104228783212311,"sce2",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.053
3,0.3,0.30997903034517,0.349534338943922,"sce2",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.315
4,0.6,0.534971046731979,0.61244787154519,"sce2",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.69
5,0.6,0.55981633233819,0.667649797413621,"sce2",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.78
1,0.01,0.0784813714288192,0.0784813714288192,"sce2",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.157649002421029,0.159765790932581,"sce2",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.053
3,0.3,0.344889255450022,0.39508470242914,"sce2",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.315
4,0.6,0.582890159249042,0.658102890588697,"sce2",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.69
5,0.6,0.602719503486732,0.719990664797785,"sce2",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.78
1,0.05,0.041715958405618,0.041715958405618,"sce3",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
2,0.1,0.104678337774153,0.0758413600090503,"sce3",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.115
3,0.5,0.408985479652458,0.414047918009616,"sce3",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.53
4,0.68,0.507140740652422,0.607425700897593,"sce3",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.83
5,0.7,0.519972119802112,0.697666771812385,"sce3",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.904
1,0.05,0.0591959410257282,0.0591959410257282,"sce3",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
2,0.1,0.0979031661841051,0.132733712836053,"sce3",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.115
3,0.5,0.390263889758596,0.412143191816009,"sce3",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.53
4,0.68,0.554361448411344,0.665393811518332,"sce3",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.83
5,0.7,0.574255846782352,0.699911405934242,"sce3",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.904
1,0.05,0.0862689205354863,0.0862689205354863,"sce3",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
2,0.1,0.135035644375419,0.169205200430019,"sce3",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.115
3,0.5,0.430193633004194,0.47022477314424,"sce3",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.53
4,0.68,0.582906786901379,0.677576490205209,"sce3",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.83
5,0.7,0.607873537643299,0.749478591905471,"sce3",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.904
1,0.05,0.114218560795219,0.114218560795219,"sce3",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
2,0.1,0.19518049264847,0.214969388550502,"sce3",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.115
3,0.5,0.497310435952584,0.484861239342255,"sce3",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.53
4,0.68,0.614954982314483,0.774687315347277,"sce3",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.83
5,0.7,0.627608745199842,0.794380478245088,"sce3",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.904
1,0.01,0.00906023625160706,0.00906023625160706,"sce4",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0421661357250955,0.0497560099656218,"sce4",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.053
3,0.1,0.0862149941413125,0.0914520292181958,"sce4",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.115
4,0.2,0.14090003913625,0.16372328772977,"sce4",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.23
5,0.4,0.355925909112196,0.38856079404737,"sce4",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.46
1,0.01,0.0170407075260312,0.0170407075260312,"sce4",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0557997300674628,0.0633747066377764,"sce4",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.053
3,0.1,0.0957112288683402,0.0952733155585452,"sce4",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.115
4,0.2,0.193994134311757,0.196528548229806,"sce4",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.23
5,0.4,0.333922513785789,0.371936176957549,"sce4",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.46
1,0.01,0.0513458867459653,0.0513458867459653,"sce4",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.102205098429529,0.111644270250615,"sce4",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.053
3,0.1,0.137427913334169,0.142636864884098,"sce4",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.115
4,0.2,0.231339113077293,0.252435232698164,"sce4",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.23
5,0.4,0.374325944813018,0.37494252003042,"sce4",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.46
1,0.01,0.089941470782297,0.089941470782297,"sce4",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.169828569747617,0.160361245051796,"sce4",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.053
3,0.1,0.207803487025592,0.207652504352333,"sce4",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.115
4,0.2,0.262907684718372,0.309741741884463,"sce4",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.23
5,0.4,0.415141415441956,0.472840952655626,"sce4",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.46
1,0.1,0.0802968022498121,0.0802968022498121,"sce5",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
2,0.2,0.151152170399157,0.220975795812564,"sce5",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.23
3,0.4,0.304932838033512,0.338043481099138,"sce5",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.46
4,0.45,0.322704170735731,0.416236512883671,"sce5",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.57
